question_id,question,reference_answer,generated_answer,evidence_text_precision_score,evidence_text_precision_status,evidence_text_precision_explanation,evidence_text_precision_matched_words,evidence_text_precision_total_words,evidence_text_recall_score,evidence_text_recall_status,evidence_text_recall_explanation,evidence_text_recall_matched_words,evidence_text_recall_total_words
ragbench-v1-023,Which client-side typeahead behaviors are recommended to avoid needless requests while a user is still typing?,"The client should wait until no key has been pressed for 50 ms before contacting the server, cancel an in-progress request if typing continues, and initially wait for a couple of characters.","The client should only try hitting the server if the user has not pressed any key for 50ms, and if the user is constantly typing, the client can cancel the in-progress requests. These recommendations are found on PAGE 99 of the document SOURCE: Grokking-the-system-design-interview-free.pdf. SOURCE: Grokking-the-system-design-interview-free.pdf, PAGE: 99

The client should only try hitting the server if the user has not pressed any key for 50ms.
If the user is constantly typing, the client can cancel the in-progress requests. 

Both of these behaviors are aimed at avoiding unnecessary requests to the server while the user is still actively typing. SOURCE: Grokking-the-system-design-interview-free.pdf, PAGE: 99

The client should only try hitting the server if the user has not pressed any key for 50ms.
If the user is constantly typing, the client can cancel the in-progress requests. 

These recommendations are found on PAGE 99 of the document SOURCE: Grokking-the-system-design-interview-free.pdf. SOURCE: Grokking-the-system-design-interview-free.pdf, PAGE: 99

The client should only try hitting the server if the user has not pressed any key for 50ms.
If the user is constantly typing, the client can cancel the in-progress requests. 

These behaviors are described on PAGE 99 of the document SOURCE: Grokking-the-system-design-interview-free.pdf. SOURCE: Grokking-the-system-design-interview-free.pdf, PAGE: 99

The client should only try hitting the server if the user has not pressed any key for 50ms.
If the user is constantly typing, the client can cancel the in-progress requests. 

These recommendations are found on PAGE 99 of the document SOURCE: Grokking-the-system-design-interview-free.pdf. SOURCE: Grokking-the-system-design",0.132898,scored,61 of 459 unique final-context body-word positions overlapped the annotated reference evidence.,61,459,1.000000,scored,61 of 61 unique reference-evidence word positions were covered by the final context.,61,61
ragbench-v1-024,"Once a relational database is sharded, why are cross-shard joins and foreign-key enforcement difficult, and what workarounds are proposed?","Cross-shard joins require collecting data from multiple servers and are inefficient, so denormalization can move formerly joined data into one table, at the cost of possible inconsistency. Cross-database foreign keys are often unsupported, so applications enforce referential integrity themselves and may run cleanup SQL jobs for dangling references.","Once a relational database is sharded, cross-shard joins and foreign-key enforcement become difficult because operations across multiple tables or multiple rows in the same table no longer run on the same server. This makes it challenging to perform joins that span database shards efficiently, as data must be fetched from multiple servers, leading to performance issues. Similarly, enforcing data integrity constraints like foreign keys across databases on different servers is not supported by most RDBMS, making it necessary to handle these constraints in application code. To mitigate the need for complex join operations, a common workaround is to denormalize the database, allowing queries that previously required joins to be executed from a single table. For foreign-key enforcement, applications often need to run regular SQL jobs to clean up dangling references.

SOURCES AND PAGES:
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE: 180
- Grokking-the-system-design-interview-free.pdf, PAGE:",0.681199,scored,250 of 367 unique final-context body-word positions overlapped the annotated reference evidence.,250,367,1.000000,scored,250 of 250 unique reference-evidence word positions were covered by the final context.,250,250
ragbench-v1-025,"In the reference entry for Add Two Numbers, how are the integers represented, what form must the result take, and what typical complexity is targeted?","The two non-negative integers are encoded as reverse-order linked lists, and the sum is returned in the same representation. The typical target is O(m+n) time and O(1) auxiliary space.","The provided document context does not contain enough information. The context mentions ""Add Two Integers"" but does not provide details on how the integers are represented, the form the result must take, or the typical complexity targeted for this specific problem. The closest related problem mentioned is ""372. Super Pow,"" which deals with mathematical operations and has a typical target of often O(log n) bit operations and O(1) auxiliary space, but it does not match the ""Add Two Integers"" problem as described in the question. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 906

The context for ""2235. Add Two Integers"" states that the typical target is usually O(log n) search iterations, but it does not specify the representation of integers, the form the result must take, or the exact complexity targeted for this problem. Therefore, the provided document context does not contain enough information to answer the question accurately. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 600

The context for ""1317. Convert Integer to the Sum of Two No-Zero Integers"" does not provide information about the representation of integers, the form the result must take, or the typical complexity targeted for the ""Add Two Integers"" problem. Thus, the provided document context does not contain enough information to answer the question accurately. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 285

The context for ""370. Range Addition"" and ""372. Super Pow"" does not provide information about the representation of integers, the form the result must take, or the typical complexity targeted for the ""Add Two Integers"" problem. Thus, the provided document context does not contain enough information to answer the question accurately. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 24",0.000000,scored,0 of 356 unique final-context body-word positions overlapped the annotated reference evidence.,0,356,0.000000,scored,0 of 45 unique reference-evidence word positions were covered by the final context.,0,45
ragbench-v1-026,Which technique and data structures does the reference associate with finding the longest substring that has no repeated characters?,"It associates the task with a sliding window, a hash map or set, and two pointers; the target is O(n) time and O(k) space.","The provided document context does not contain enough information to determine which specific technique and data structures are associated with finding the longest substring that has no repeated characters. The context mentions techniques and data structures for other problems but not for the specific problem of finding the longest substring without repeated characters. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 214

The context on page 214 discusses ""Longest Substring with At Most Two Distinct Characters"" which uses techniques like Hash Table and String, but it does not mention a technique for finding the longest substring with no repeated characters. Therefore, based on the given information, we cannot provide an answer to the question. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 214

The context on page 515 discusses ""Longest Repeating Substring"" which involves techniques like String, Binary Search, and others, but again, it does not address the problem of finding the longest substring without any repeated characters. Thus, the provided document context does not contain enough information to answer the question. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 515

The context on pages 1071 and 1155 discuss problems related to substrings but do not specifically mention the technique or data structures used for finding the longest substring without repeated characters. Therefore, the provided document context does not contain enough information to answer the question. SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 1071

SOURCE: LeetCode_4000_Problem_Reference.pdf, PAGE: 1155

Given the above analysis, the provided document context does not contain enough information to determine which specific technique and data structures are associated with finding the longest substring that has no repeated characters. Therefore, the answer is that the provided document context does not contain enough information. SOURCE",0.000000,scored,0 of 347 unique final-context body-word positions overlapped the annotated reference evidence.,0,347,0.000000,scored,0 of 40 unique reference-evidence word positions were covered by the final context.,0,40
ragbench-v1-027,What runtime and space target does the reference give for computing the median of two sorted arrays?,"It gives O(log min(m,n)) time and O(1) space, with binary search and partitioning as the key concepts.","The provided document context does not contain enough information to determine the runtime and space target for computing the median of two sorted arrays. The given pages discuss other problems such as finding medians from data streams, best meeting points, serializing and deserializing binary trees, and finding weighted median nodes in trees, but do not provide details on the specific problem of computing the median of two sorted arrays. SOURCE: None, PAGE: None. The context does not mention the problem of computing the median of two sorted arrays. Therefore, the provided document context does not contain enough information to determine the runtime and space target for this specific problem. SOURCE: None, PAGE: None.",0.000000,scored,0 of 439 unique final-context body-word positions overlapped the annotated reference evidence.,0,439,0.000000,scored,0 of 42 unique reference-evidence word positions were covered by the final context.,0,42
ragbench-v1-028,"What special correctness condition accompanies reversing a signed integer, and what typical complexity does the reference target?",The reversed decimal digits must remain safe under signed 32-bit overflow handling. The typical target is O(log |x|) time and O(1) space.,"The provided document context does not contain enough information to determine the special correctness condition for reversing a signed integer or the typical complexity targeted in the reference. The context focuses on specific problems and their associated complexities but does not provide details about the reversal of signed integers. SOURCES: LeetCode_4000_Problem_Reference.pdf, PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, 513, 1444. PAGE: 1422, 698, ",0.000000,scored,0 of 308 unique final-context body-word positions overlapped the annotated reference evidence.,0,308,0.000000,scored,0 of 38 unique reference-evidence word positions were covered by the final context.,0,38
ragbench-v1-029,"For Regular Expression Matching, does the reference ask for a partial or full-string match, which pattern operators are named, and what typical bound is listed?","It asks whether the entire string matches a pattern with dot and star semantics. The typical target is O(mn) time and O(mn) space, usually using dynamic programming or recursion/memoization.","The provided document context does not contain enough information to determine the specific type of match (partial or full-string), the named pattern operators, or any typical bound listed. The context discusses concepts like greedy vs non-greedy matching, character disjunction, and operator precedence but does not provide details on the type of match or bounds. SOURCES: Speech and Language Processing.pdf, PAGE: 60, PAGE: 57, PAGE: 60, PAGE: 56.",0.000000,scored,0 of 460 unique final-context body-word positions overlapped the annotated reference evidence.,0,460,0.000000,scored,0 of 39 unique reference-evidence word positions were covered by the final context.,0,39
ragbench-v1-030,What output uniqueness requirement and typical time target are stated for 4Sum?,The result must contain all unique quadruples whose values equal the requested target. The listed typical runtime is O(n^3).,"The provided document context does not contain enough information to determine the output uniqueness requirement or typical time target for 4Sum. The given pages discuss other problems such as ""First Element with Unique Frequency"", ""Minimum Increment to Make Array Unique"", ""Minimum Distance Between Three Equal Elements II"", and ""Number of Divisible Triplet Sums"". None of these correspond to the 4Sum problem. Therefore, based on the given context, there is no relevant information available to answer the question about 4Sum. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information. SOURCE: N/A, PAGE: N/A
The provided document context does not contain enough information",0.000000,scored,0 of 317 unique final-context body-word positions overlapped the annotated reference evidence.,0,317,0.000000,scored,0 of 33 unique reference-evidence word positions were covered by the final context.,0,33
ragbench-v1-031,What pointer strategy and resource target are listed for removing the nth node counted from the end of a singly linked list?,"The entry lists fast/slow pointers with a dummy node, targeting O(n) time and O(1) space.","The pointer strategy listed for removing the nth node counted from the end of a singly linked list is the use of fast/slow pointers. The resource target is O(n) time and O(1) space.

SOURCES AND PAGES:
- LeetCode_4000_Problem_Reference.pdf, PAGE: 168 SOURCE: ""19. Remove Nth Node From End of List"" MEDIUM
- LeetCode_4000_Problem_Reference.pdf, PAGE: 990 SOURCE: ""2487. Remove Nodes From Linked List"" MEDIUM
- LeetCode_4000_Problem_Reference.pdf, PAGE: 170 SOURCE: ""19. Remove Nth Node From End of List"" MEDIUM

The correct answer should only reference the first instance where the details are provided, which is on page 168. Therefore, the correct answer is:

SOURCES AND PAGES:
- LeetCode_4000_Problem_Reference.pdf, PAGE: 168 SOURCE: ""19. Remove Nth Node From End of List"" MEDIUM

The pointer strategy is ""fast/slow pointers"" and the resource target is ""O(n) time, O(1) space."" The other sources are not relevant for this specific question as they refer to different problems. The repetition of the same problem (19. Remove Nth Node From End of List) on pages 168 and 170 does not change the answer since the information is identical. The page 990 reference is for a different problem. Therefore, the answer should only include the first occurrence. 

Corrected Answer:
The pointer strategy listed for removing the nth node counted from the end of a singly linked list is the use of fast/slow pointers. The resource target is O(n) time and O(1) space.

SOURCES AND PAGES:
- LeetCode_40",0.089431,scored,44 of 492 unique final-context body-word positions overlapped the annotated reference evidence.,44,492,1.000000,scored,44 of 44 unique reference-evidence word positions were covered by the final context.,44,44
ragbench-v1-032,"What question does a posterior predictive check ask, and how does it use synthetic datasets and test statistics to diagnose a poor model?","It asks whether observed data look typical of data expected under the fitted model. Synthetic future datasets are drawn from the posterior predictive distribution, selected scalar test statistics are computed for them and the observed data, and a large discrepancy indicates that the model may be poor.","A posterior predictive check asks whether the observed data is typical compared to synthetic datasets generated from the model. It uses synthetic datasets created by drawing from the posterior predictive distribution to represent ""plausible hallucinations"" of the model. To assess the model's quality, it computes how ""typical"" the observed data is compared to these synthetic datasets using test statistics. If there is a large difference between the distribution of the test statistics across the synthetic datasets and the value of the test statistics on the actual data, it suggests the model is not a good fit for the data. SOURCES: Probabilistic Machine Learning.pdf, PAGE: 162.",0.248288,scored,145 of 584 unique final-context body-word positions overlapped the annotated reference evidence.,145,584,0.838150,scored,145 of 173 unique reference-evidence word positions were covered by the final context.,145,173
ragbench-v1-033,Why does minimizing forward KL tend to cover modes while minimizing reverse KL tends to select modes?,"Forward/inclusive KL, DKL(p∥q), becomes infinite unless q is positive wherever p is positive, encouraging q to cover p's modes (zero-avoiding). Reverse/exclusive KL, DKL(q∥p), becomes infinite unless q is zero wherever p is zero, encouraging q to select modes and avoid unsupported regions (zero-forcing).","Minimizing the forward KL divergence \( \text{DKL}(p \parallel q) \) tends to cover both modes of the distribution \( p \) because to avoid the divergence becoming infinite, the approximating distribution \( q \) must have support everywhere \( p \) has support. This ensures that \( q \) does not vanish where \( p \) is non-zero, leading to a mode-covering or zero-avoiding behavior (orange curve in the figure).

By contrast, minimizing the reverse KL divergence \( \text{DKL}(q \parallel p) \) tends to select or seek the modes of \( p \) because to avoid the divergence becoming infinite, \( q \) must be zero wherever \( p \) is zero. This creates a mode-seeking or zero-forcing behavior (green curve in the figure).

These behaviors are illustrated in Figure 5.1 of the provided context, where the original bimodal distribution \( p \) (blue) is approximated by a unimodal Gaussian \( q \) (orange for mode-covering and green for mode-seeking).

SOURCES: Probabilistic Machine Learning.pdf, PAGE: 259; Probabilistic Machine Learning.pdf, PAGE: 260.",0.154762,scored,91 of 588 unique final-context body-word positions overlapped the annotated reference evidence.,91,588,1.000000,scored,91 of 91 unique reference-evidence word positions were covered by the final context.,91,91
ragbench-v1-034,"In reparameterized variational inference, how is randomness separated from the variational parameters, and what does that enable?","A draw from the parameterized latent distribution is rewritten as a differentiable, invertible transformation of noise whose distribution does not depend on the variational parameters. This enables gradients to propagate back through the transformation and is called reparameterized variational inference (RVI).","In reparameterized variational inference, randomness is separated from the variational parameters by moving the stochasticity into the noise source ε, and computing z deterministically as z = g(ϕ, x, ε). This is illustrated in Figure 10.4 on PAGE 480 of Probabilistic Machine Learning.pdf. By doing so, the rest of the graph becomes deterministic, allowing for the backpropagation of the gradient of the scalar f with respect to ϕ through z and into ϕ. SOURCES: Probabilistic Machine Learning.pdf, PAGE: 480.",0.000000,scored,0 of 581 unique final-context body-word positions overlapped the annotated reference evidence.,0,581,0.000000,scored,0 of 51 unique reference-evidence word positions were covered by the final context.,0,51
ragbench-v1-035,"Why must HMC resample momentum on every iteration, and what problem does NUTS solve?","HMC approximately preserves Hamiltonian energy along a trajectory, so fixed momentum would keep the sampler from reaching states above that energy; new random momentum is needed for ergodicity and full-space exploration. NUTS adaptively chooses the number of leapfrog steps L so exploration is long enough without doubling back and wasting computation through correlated samples.","HMC must resample momentum on every iteration to ensure the sampler explores the full space. This is necessary because if the momentum is not resampled, the sampler might be confined to regions where the energy function \( E(\theta) \leq h \), preventing it from reaching states where \( E(\theta) > h \).

NUTS (No-U-Turn Sampler) solves the problem of choosing the number of leapfrog steps \( L \) in HMC. NUTS adapts the number of leapfrog steps during the sampling process to explore the level set of constant energy without wasting computation due to correlated samples or doubling back on itself. This adaptive mechanism ensures efficient exploration of the phase space. 

**SOURCES AND PAGES:**
- Probabilistic Machine Learning.pdf, PAGE: 554
- Probabilistic Machine Learning.pdf, PAGE: 12.5.4.1 Choosing the number of steps using NUTS SOURCE: Probabilistic Machine Learning.pdf, PAGE: 554

The provided context explains why HMC needs to resample momentum and introduces NUTS as a solution to determine the appropriate number of leapfrog steps dynamically. The specific pages mentioned are from the document ""Probabilistic Machine Learning.pdf"".",0.248355,scored,151 of 608 unique final-context body-word positions overlapped the annotated reference evidence.,151,608,0.893491,scored,151 of 169 unique reference-evidence word positions were covered by the final context.,151,169
ragbench-v1-036,"What happens when HMC's step size is too large or too small, and what acceptance-rate tuning range is recommended for the stated L=1, identity-mass setup?","A too-large step size proposes moves that raise potential energy and are likely to be rejected; a too-small step size barely moves and makes sampling slow. With Σ=I and L=1, the cited heuristic varies η until acceptance is between 40% and 80%.","When HMC's step size η is too large, the acceptance rates tend to decrease because the proposed moves are too far from the current state, leading to a higher likelihood of divergence. Conversely, when η is too small, the acceptance rates increase but the sampling becomes inefficient due to very short steps. The recommended acceptance-rate tuning range for the stated L=1, identity-mass setup is 40%–80%, according to [BZ20, Sec 9.5.4].

SOURCES: Probabilistic Machine Learning.pdf, PAGE: 555; [BZ20, Sec 9.5.4]",0.055459,scored,32 of 577 unique final-context body-word positions overlapped the annotated reference evidence.,32,577,0.205128,scored,32 of 156 unique reference-evidence word positions were covered by the final context.,32,156
ragbench-v1-037,Which structural property lets a normalizing flow both sample and evaluate exact likelihood efficiently?,"A normalizing flow maps a sample from a simple base distribution through a nonlinear, invertible transformation. The forward transformation makes sampling straightforward, and invertibility enables efficient exact-density evaluation.","The structural property that lets a normalizing flow both sample and evaluate exact likelihood efficiently is that it uses flexible invertible transformations \( f \) whose Jacobian determinant \( \text{det } J(f)(u) \) can be computed efficiently. This is mentioned on PAGE 864 of Probabilistic Machine Learning.pdf.

SOURCES:
- Probabilistic Machine Learning.pdf, PAGE: 864

This property allows for constructing complex densities \( p(x) \) that enable exact sampling and efficient exact likelihood computation, distinguishing normalizing flows from other latent variable models that often rely on variational inference to approximate the likelihood. PAGE 864 of Probabilistic Machine Learning.pdf provides this explanation. 

Additionally, the ability to efficiently sample from \( q_{\theta}(z|x) \) and evaluate the probability density of these samples during optimization is crucial for training normalizing flows, as detailed in PAGE 866 of the same document. However, this is more specific to the optimization process rather than the core structural property enabling efficient sampling and likelihood evaluation. PAGE 864 remains the primary source for the structural property in question. 

SOURCES:
- Probabilistic Machine Learning.pdf, PAGE: 864
- Probabilistic Machine Learning.pdf, PAGE: 866 (for additional context on optimization)",0.120000,scored,66 of 550 unique final-context body-word positions overlapped the annotated reference evidence.,66,550,0.600000,scored,66 of 110 unique reference-evidence word positions were covered by the final context.,66,110
ragbench-v1-038,How do the tractability requirements for a normalizing flow differ between density estimation and variational inference?,"Density estimation requires efficient evaluation of the inverse flow and its Jacobian determinant; generating samples additionally requires a tractable forward map. Variational inference uses a flow to parameterize an approximate posterior, trains it by maximizing the ELBO, and uses reparameterization to optimize with stochastic gradients.","The tractability requirements for a normalizing flow differ between density estimation and variational inference as follows:

- **Density Estimation**: For density estimation, the normalizing flow requires that we can efficiently evaluate the inverse flow \( u = f^{-1}(x) \) and its Jacobian determinant \( \det J(f^{-1})(x) \) for any given \( x \). This is necessary to maximize the likelihood function.

- **Variational Inference**: For variational inference, the requirement is that the forward mapping \( f \) must be tractable. This allows for sampling from and evaluating the variational posterior \( q_{\theta}(z|x) \) parameterized by the flow model.

**SOURCES AND PAGES**:
- Probabilistic Machine Learning.pdf, PAGE: 865
- Probabilistic Machine Learning.pdf, PAGE: 865
- Probabilistic Machine Learning.pdf, PAGE: 23.1.2 How to train a flow model (section within 865)",0.266537,scored,137 of 514 unique final-context body-word positions overlapped the annotated reference evidence.,137,514,0.769663,scored,137 of 178 unique reference-evidence word positions were covered by the final context.,137,178
ragbench-v1-039,"For Gaussian-process time-series forecasting, how can inference cost change for suitable stationary kernels, and which kernel families permit exact versus approximate conversion?",Naive GP forecasting costs O(T^3). For certain stationary kernels it can be reformulated as a linear-Gaussian state-space model and solved with a Kalman smoother in O(T). The conversion is exact for Matérn kernels and approximate for Gaussian/RBF kernels.,"For Gaussian-process time-series forecasting, when using suitable stationary kernels, the inference cost can change significantly. Initially, a naive approach might take \(O(T^3)\) time. However, for certain stationary kernels, it is possible to reformulate the problem as a linear-Gaussian state space model (LG-SSM), allowing inference to be performed in \(O(T)\) time. This conversion is detailed in references [SSH13; SS19; Ada+20].

Exact inference in the converted LG-SSM form can be achieved in \(O(N)\) time using Kalman smoothing, as explained in Section 8.2.3. Additionally, if a highly parallel processor like a GPU is available, the time can be further reduced to \(O(\log(N))\), as discussed in Section 8.2.3.4.

The specific kernel families that permit this exact conversion are stationary kernels, which allow the problem to be reformulated into an LG-SSM. Non-stationary kernels generally do not permit such a straightforward conversion, leading to more complex inference methods or approximations.

SOURCES:
- Probabilistic Machine Learning.pdf, PAGE: 766
- Probabilistic Machine Learning.pdf, PAGE: 751
- Probabilistic Machine Learning.pdf, PAGE: 717
- Probabilistic Machine Learning.pdf, PAGE: 717

Note: The exact page numbers for the additional sections mentioned (Supplementary Section 18.1, Supplementary Section 18.2, Section 8.2.3, and Section 8.2.3.4) are not provided in the context, but they are referenced within the given text. The sources and pages provided are based on the information given in the context.",0.208897,scored,108 of 517 unique final-context body-word positions overlapped the annotated reference evidence.,108,517,0.907563,scored,108 of 119 unique reference-evidence word positions were covered by the final context.,108,119
ragbench-v1-040,"What failure of raw likelihood is reported for unsupervised out-of-distribution detection, what replacement is proposed, and what invariance advantage does it have?","A deep density model can assign lower likelihood to samples from its source distribution than to samples from a novel target distribution. A log-likelihood ratio against a baseline density is proposed instead of raw likelihood, and the ratio is invariant to transformations of the data.","The failure of raw likelihood reported for unsupervised out-of-distribution detection is that for many kinds of deep models and datasets, the likelihood \( p(x) \) is lower for samples from the source distribution compared to samples from a novel target distribution. This phenomenon occurs because the natural data often lies on a low-dimensional manifold, and simpler distributions (which need fewer dimensions) get higher likelihoods.

The replacement proposed is to compare the likelihood \( p(x) \) to some threshold value. This involves fitting an unconditional density model (such as a Variational Autoencoder, VAE) to the in-distribution (ID) samples and evaluating the likelihood of the test sample.

The invariance advantage of this approach is that it can help in distinguishing between in-distribution and out-of-distribution samples even when the raw likelihood values do not behave as expected. By setting a threshold, the method can control the rate of false positives (type-I errors) and still detect OOD examples effectively.

SOURCES AND PAGES:
- Probabilistic Machine Learning.pdf, PAGE: 777
- Probabilistic Machine Learning.pdf, PAGE: 777
- Probabilistic Machine Learning.pdf, PAGE: 777

Note: The third source mentioned in the answer is the same as the second one, so it should be noted that the information is repeated. However, the context provided does not specify how to handle this repetition, so both pages are included. If the context required unique sources, the answer would need to be adjusted accordingly.",0.126560,scored,71 of 561 unique final-context body-word positions overlapped the annotated reference evidence.,71,561,0.617391,scored,71 of 115 unique reference-evidence word positions were covered by the final context.,71,115
ragbench-v1-041,"How does BPE training grow its vocabulary, and what is the stopping parameter described in the text?","BPE begins with individual characters, repeatedly finds the most frequent adjacent token pair, merges it into a new longer token, and stops after k merges. Thus k controls how many new symbols are added beyond the original character set.","The BPE training algorithm grows its vocabulary by iteratively merging frequent neighboring tokens to create longer and longer tokens. The stopping parameter is not explicitly mentioned in the provided context. Therefore, the provided document context does not contain enough information to describe the stopping parameter. 

SOURCES: 
- Speech and Language Processing.pdf, PAGE: 51
- Speech and Language Processing.pdf, PAGE: 53

PAGES: 
- 51
- 53",0.038017,scored,23 of 605 unique final-context body-word positions overlapped the annotated reference evidence.,23,605,0.103604,scored,23 of 222 unique reference-evidence word positions were covered by the final context.,23,222
ragbench-v1-042,"How should language-model perplexity be interpreted, and why is it unsafe to compare perplexities from models with very different tokenizers?","Perplexity is the inverse probability assigned to a test set, normalized by its token count; lower perplexity means higher test-set probability and a better predictive model on that data. Because the normalization depends on the number of tokens, different tokenization algorithms can change the value, so perplexity is best compared between models using the same tokenizer.","Language-model perplexity measures the accuracy of a model in predicting words. It is interpreted as a weighted average branching factor of a language, indicating how surprised the model is by the test set. Lower perplexity indicates a better predictor of the test set because it suggests higher probability assignments to the test sequence. However, it is unsafe to compare perplexities from models with very different tokenizers because perplexity is very sensitive to differences in tokenization algorithms, which can significantly affect the number of tokens in a text. This sensitivity makes it difficult to make exact comparisons between models using different tokenizers. SOURCES: Speech and Language Processing.pdf, PAGE: 211; Speech and Language Processing.pdf, PAGE: 85; Speech and Language Processing.pdf, PAGE: 85.",0.118126,scored,58 of 491 unique final-context body-word positions overlapped the annotated reference evidence.,58,491,0.369427,scored,58 of 157 unique reference-evidence word positions were covered by the final context.,58,157
ragbench-v1-043,What role does self-attention play in building a token's contextual representation?,"Self-attention attends to and integrates information from surrounding tokens, moving information between token-position residual streams and enriching each token representation with long-range contextual relationships.","Self-attention plays a crucial role in building a token's contextual representation by allowing the model to weigh and combine the representations from appropriate other tokens in the context. Specifically, it helps the model attend differently to various words at a given layer, integrating information from these words to create a more nuanced and contextually rich representation for the target token. This process is illustrated in Figure 7.3, where the self-attention weight distribution α indicates how much the model focuses on different words when computing the representation for a specific token. For example, in the sentence ""The chicken didn’t cross the road because it was too tired,"" the self-attention mechanism would give significant weight to the words ""chicken"" and ""road"" when computing the representation for ""it,"" reflecting the coreference relationship between ""it"" and these nouns. 

SOURCES: Speech and Language Processing.pdf, PAGE: 188, PAGE: 189

PAGES: 188, 189",0.158379,scored,86 of 543 unique final-context body-word positions overlapped the annotated reference evidence.,86,543,0.877551,scored,86 of 98 unique reference-evidence word positions were covered by the final context.,86,98
ragbench-v1-044,"In a transformer attention head, what are the query, key, and value roles, and why is the query-key dot product scaled?","The query represents the current element being compared, the key represents a preceding element used to determine similarity, and the value is the preceding element's content that is weighted and summed. The query-key dot product is divided by √dk because arbitrarily large dot products can cause numerical problems and gradient loss after exponentiation.","In a transformer attention head, the query, key, and value roles are defined as follows:
- **Query**: Represents the current element being compared to the preceding inputs.
- **Key**: Represents a preceding input that is being compared to the current element to determine a similarity weight.
- **Value**: Contains the information that will be weighted and summed based on the similarity scores computed from the query and key.

The query-key dot product is scaled by \(\frac{1}{\sqrt{d_k}}\) to mitigate the effect of the dimensionality \(d_k\) of the key vectors. This scaling helps in maintaining stable gradients during backpropagation and ensures that the dot product remains within a reasonable range, which is crucial for the softmax function to produce meaningful probabilities. This is discussed in the context provided on PAGE 191 of ""Speech and Language Processing.pdf"".

SOURCES: 
- Speech and Language Processing.pdf, PAGE: 190
- Speech and Language Processing.pdf, PAGE: 191

PAGES: 
- 190
- 191

Note: While the exact scaling factor is not explicitly mentioned in the provided context, it is implied in the discussion of the query-key dot product and its importance in the attention mechanism. The scaling factor \(\frac{1}{\sqrt{d_k}}\) is a common practice in transformer architectures to ensure numerical stability. PAGE 191 provides more detailed information on the multi-head attention mechanism, including the scaling of the query-key dot product. PAGE 190 introduces the basic concepts of the query, key, and value roles. PAGE 293 discusses the cross-attention mechanism but does not directly address the scaling of the query-key dot product. Therefore, the primary sources for the query, key, and value roles are PAGE 190 and PAGE 191. PAGE 191 also provides additional context on the scaling of the query-key",0.129482,scored,65 of 502 unique final-context body-word positions overlapped the annotated reference evidence.,65,502,0.430464,scored,65 of 151 unique reference-evidence word positions were covered by the final context.,65,151
